hash256,birth_year_value,death_year_value,birth_city,birth_state,birth_city_lat_long,birth_country,death_city,death_state,death_country,death_city_latitude_longitude
a6f75799c6b01fa52138a2d104c84a586abdf5057b76148d131311d84d64e856,1777,1820,,,,,Providence,RI,United States of America,"41.82442, -71.41251"
87d8ffa1a98a61f4b37688564988dacc79fb7acb1e61d33a4299b5f5b28ddbef,1777,1839,Newport,RI,"41.49032, -71.31363",United States of America,,,,
350b84afada1abf3e714e1b2320f33713fcd05d6bf849bb53bb459cb9fb8f958,1778,1853,New Haven,CT,"41.3088, -72.9259",United States of America,,,,
8772712b4bc17d6e4c82e804d1842aa55e40e30c6d7b635428f09b70ed434499,1778,1820,,,,,Cranston,RI,United States of America,"41.77899, -71.43723"
7c2811a8ea3f86574afa7a788640b63dabb1bd66020f8ed01b2ea50034e9d82d,1778,1796,,,,,Savannah La Mar,,Jamaica,"18.21867, -78.13296"
5082333b99eb490086134bf695661a628b9879d1d752d7741b82605de925c05b,1778,1857,,,,,Dartmouth,MA,United States of America,"41.6272, -70.9717"
dda62eaa574993e1928be02bf8cb59b5b36e80a848cd20d82eff986cd843616f,1778,1821,Cranston,RI,"41.77899, -71.43723",United States of America,,,,
1ce79a6aee827fbbae62cc517b267ef696d3773d73247517d524fcc26170b14c,1778,1859,,VA,,United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
ab4d99bf5cc5de97db44333b8ec770d62285d88bd6d05b3c48976aa37fadb3bf,1778,1796,Cumberland,RI,"41.9638, -71.4314",United States of America,Bassino,,St. Croix,
3cd30527a7c78d695db13ec58824fc52a3208ee33506d7d0cdb6e24d328ee869,1779,1854,West Newbury,MA,"42.80107, -70.98764",United States of America,Providence ,RI,United States of America,"41.82442, -71.41251"
7c78dbf1be62f8906717c5005b6ef5e9ad247f54779e2cc196eb1c16e1dba6ea,1779,1859,Providence,RI,"41.82442, -71.41251",United States of America,,,,
ecc0bb4ab00c734d2e074c4a234242c9db6b8305f2b656a1e9fe320d8505b15c,1779,1815,Saybrook,CT,"41.29200, -72.37587",United States of America,,,,
8c2abe713a7bd5d53d78dde1543db1e3236531a43ed88c7009bcdbb9322b6d4e,1779,1845,,,,,Providence,RI,United States of America,"41.82442, -71.41251"
ab4e7fc8286711b21a048ceb8356f955d3898db8441ea409a6070cb6d04dddc6,1779,1798,,,,,Havana,,Cuba,"23.1366, -82.3611"
94c22c88e3982fae717acf911a08aa41c80bfd08a0a493d2d608f1ccd0596001,1779,1873,Bridgewater,MA,"41.98910, -70.97425",United States of America,,,,
afd57bb0c9edadbb97a124a5be56e19b349d6187caa7b3dd755c572ea731de9d,1780,1811,,,,,Castine,ME,United States of America,"44.3887, -68.7967"
53a59d8564439704024cab08c3bb70dc8cf063fb5647553812188a3938cf0373,1780,1818,Rehoboth,MA,"41.85396, -71.23999",United States of America,Wilmington,NC,United States of America,"34.2317, -77.9415"
54cdecb55df1b40a87923c7ef9cef766013ecc97fd8289a720b5de5ea4c76840,1780,1865,Swanzey,MA,"41.74916, -71.19123",United States of America,Providence,RI,United States of America,"41.82442, -71.41251"
cdc33426fc8f0ce5d77e6025e368bc8abf0f9e32a61b72c0a5c1a3d092215391,1780,1784,Cumberland,RI,"41.9638, -71.4314",United States of America,,,,
9d880af5a69d777e398afe80195742eee20ae251f17f3c61a25763b171896b75,1780,1864,Mandon,MA,,United States of America,Smithfield,RI,United States of America,"41.9217, -71.5481"
7e3f8a01bc8ee979e7c2cfade0bdedefe9941fb7389d51b98b2d1c1c0e2d5cdc,1781,1854,Dighton,MA,"41.81495, -71.12051",United States of America,,,,
d425b7df8cfaa4a1bd59b66fdfc2cc01bb148435f892a0d4f4c411f1887e2371,1781,1861,,,,,Warwick,RI,United States of America,"41.7001, -71.4595"
