alias,comp,cond_sterling,cond_rivera,legi_sterling,legi_rivera,cond_rivera_original,legi_rivera_original
0984,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0985,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0986,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0987,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0988,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0989,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0990,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0991,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0992,granite,good,good,good,good,1_sound_in_situ_or_leaning,2_all_legible
0993,marble,poor,fair,poor,poor,3_falling_apart_incomplete_recognizable,4_traces
0994,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0995,,,gone,,,6_in_sterling_no_longer_identifiable_on_site,
0996,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
0997,granite,good,good,good,good,1_sound_in_situ_or_leaning,1_mint
