hash256,section,composition,condition,legibility,estimated_installation_year
199bc7079f280da0ae8db1fb78d1587e5926928b112c149c05c0a6003502d040,AA,granite,good,good,1884
19cf26c49900c2164c6a41dc0eb7eb165fc07dfd3aa6003eb521480b79eebdca,AA,granite,good,good,1948
1aac17d125dce542ef79c68c603e7dec93bc2b22ce0a3af0db2c69f4ec903f3c,AA,slate,good,good,1825
1ae0c512f93a066559cbfd2d6386802c79f86f7e2dd2a3cb438e01ab285ea446,AA,marble,fair,poor,1854
1b005d1c0b82e84bb3639791ef2683f0c710f3a2d4fbcd42ff6fe6ca94836ea6,AA,marble,fair,good,1876
1b2a8ea76ed3d7b304452c19bdf8283f772e12eb00f7ebcce7030764b6909d3c,AA,granite,good,good,1854
1b76de65aec9a66dc7786d9be232f4c3e4c5c4a0afb1001f496c4983af1534dc,AA,marble,poor,poor,1826
1b779d19326f9d523b61c80b669ad5377b6262d8ff82533761cd1009c310cfb3,AA,slate,good,good,1824
1baaa1c7b5fd057de094bd42ef76d4ddbc15434f7c76a611ec1d18afa96b99b1,AA,marble,good,good,
1bb3d02f85385d21672e8153c1d36a987cd07e81ee89d940a6dad5a5ffef4272,AA,marble,good,good,1814
1bc2f40d01d9081fbeef1cfd3d4001c806adbc692ff44da5f6d5a7ecc94b2d8c,AA,slate,good,good,1842
1c2e64733f20a1ff735e523d0f7dc83492a157a8335a036093a80adbcbfefb24,AA,marble,good,good,1926
1c43b043b00e7b050383b2792f7cae7b3ef5d8d897db896d40e419786e9af492,AA,,,,1861
1c8cb81f3cf9c8b00a4cf6171477c021dddc6eee192ec16ab3740eb6bbebabe0,AA,marble,fair,fair,1886
1c92e0f34163ed4604c88d58a689531c567c31685779c260b1082762b1bc924f,AA,granite,good,good,1952
1c92e0f34163ed4604c88d58a689531c567c31685779c260b1082762b1bc924f,AA,granite,good,good,1935
1c9509d373d4f531f4f221795e3f5746f05e7444e44b35258f347f14041dce50,AA,slate,good,good,1802
1c97789b42f0f3bffd8186cc24b9dd4d161862cb30d20bb497f22d49dd67d736,AA,marble,fair,fair,1831
1caa292e588b97b32fd1d77f8425895089250b02fd9696c63c65b8e05e7c647b,AA,slate,fair,good,1809
1d29f889909ba6328b54f35ddc62fd7ff5bc5312e7cc1400a599b7e001b70576,AA,slate,good,good,1790
1d3feab87495d7ce46aea25f8b86465e24b0bc6f196bffcbe3414090461c8f84,AA,slate,good,good,1841
1d5ab2d8a4999d0212827c617f10381c9387d2fb2378f9fea7b7572230d65c2d,AA,slate,fair,good,1811
1d69701274f4e8e7a5060a08f8780414dba83e36984fe8c0853fe8a1fc01ef6f,AA,,,,1849
1d76adc7f23ea9142c08fc3d9823904185b0b1dc8fe0a58cde52829c735371c1,AA,granite,good,good,1864
1d790042108a7a764d01065deded014fd287345f2df89ffa6291007442eaf2d8,AA,slate,good,good,1821
1dab65fef1d1000c846dfbbc0daddb5b0d3ce9eca1f5db1b388801f90f30a3ab,AA,granite,good,good,1869
1db677ce972a579b7b019f58d32f7e58d4a898888fa33df1f3f91c7ccfba8788,AA,marble,good,fair,1845
1dd9ac8f00bcd79fc61dd7c2a2c0f1be6a1774072f1734c5028b41f70e39ca75,AA,marble,fair,fair,1845
1e22a313cd952f7b62e3656e6fd1623dfde7778c3f46dc5dbe8ccc0df11aa9f1,AA,granite,good,good,
1e29575ebc808990a9068d884cf723d978584791ec6b41b986ed89d0e1362d5d,AA,,,,1777
1e69b32b88a5aae9fdd5437c341675372d03e8b65a172ba246600b2f236dde92,AA,marble,fair,fair,1835
1e77329b5a18c7c84a4b211863d06c4b505379470750fd65a91ed3aa5b5fcd5e,AA,marble,fair,fair,1832
1ea320b01726b07113477d04629b1b3a3cac2979953e0305e26420ad1945433a,AA,marble,good,good,1882
1eb2c19f542c779ddb568d3e92539ca0371f3f5e887a7c91804b4cba86ed0464,AA,slate,good,good,1821
1eb898764c766599f315d797d27b2f3c95a64554e1892c6b13d72772f7f86478,AA,slate,good,good,1777
1eb9debcda581b809a7e9b8b360c88fef76df10d28ee8da80fc5fcf21fbb2a19,AA,slate,good,good,1821
1ede4426ee31b89da4ae96199badf46b1587e29c9b3332d78d286b1bae4ff35e,AA,marble,NA,NA,
1efaa9c70b29a29e572b4e2ac67de2d05b528907caeca59df8f37643a3498a4c,AA,marble,fair,fair,1833
1f22e8de2d2110840fedab3bd88a90e2540956acbf4a22ef8ec56ecf9d17f34e,AA,marble,fair,fair,1839
1f5115be640fc2a9fc38489d7316f0e2bad080b6276c6f8f15e8e518c4a4fd7a,AA,slate,good,good,1815
1f7a58ee461555a25723cb1a422936a275cd5ec531b953253ec77dd8f9a20eca,AA,marble,fair,fair,1850
1fdadbfa143ca95f63c376eddfda5ea44456d62dd8c34d1e521982c1118c6cc0,AA,slate,good,good,1796
1fe198f70d03e88148eebb144bad56922874288d2c9a01e0dc0a51e6ecbd1685,AA,slate,fair,good,1806
1ff6b47b142b8ce6a68d518ed82a07b11925a2919cf484b11183d38c566affa2,AA,marble,poor,poor,1850
20095d52436e574a9e853e50d2d324256ad55c386667932cf5cc442613e1f44e,AA,marble,fair,poor,1861
